id,fecha,prices,market_caps,total_volumes
polkadot,2022-05-18,11.0538,12319610110.939802,589327512.4078904
polkadot,2022-05-19,9.5172,10641628789.46398,664994046.9796052
polkadot,2022-05-20,10.0716,11217941457.897118,664760747.256002
polkadot,2022-05-21,9.6958,10809968711.678555,474118252.2812381
polkadot,2022-05-22,9.9969,11157329579.411272,281874137.5877274
polkadot,2022-05-23,10.1896,11373307300.649183,350967436.47877896
polkadot,2022-05-24,9.918,11069201694.498749,666619486.6452429
polkadot,2022-05-25,10.197,11362810071.348871,446644494.0847582
polkadot,2022-05-26,9.8554,11001255600.649736,401058791.2259247
polkadot,2022-05-27,9.1983,10282583415.737362,676496224.0061575
polkadot,2022-05-28,9.1387,10192458909.114304,895069085.2552017
polkadot,2022-05-29,9.6952,10862046854.90491,384380632.6241109
polkadot,2022-05-30,9.9862,11168390882.839823,362425595.7607218
polkadot,2022-05-31,10.4618,11690276218.36792,522596182.88481176
polkadot,2022-06-01,10.4483,11683748015.891912,537525366.9990507
polkadot,2022-06-02,9.4842,10621419565.291458,582914758.444155
polkadot,2022-06-03,9.8963,11094518595.936201,428346299.65681297
polkadot,2022-06-04,9.372,10450662464.77977,344577333.1850279
polkadot,2022-06-05,9.4363,10530959378.612339,229554477.1705427
polkadot,2022-06-06,9.3383,10483265818.921627,200116189.32318878
polkadot,2022-06-07,9.472,10627685062.193472,353038223.04368776
polkadot,2022-06-08,9.2453,10377514374.978031,360635212.5797018
polkadot,2022-06-09,9.0009,10092888732.36357,272545740.6317595
polkadot,2022-06-10,9.2244,10343193899.88632,303952508.1174619
polkadot,2022-06-11,8.6569,9702915948.225163,389959553.4516226
polkadot,2022-06-12,8.0078,8976559550.963488,380922783.0963164
polkadot,2022-06-13,7.45,8431247007.134336,458133743.8870508
polkadot,2022-06-14,7.0018,7774561604.468859,894612341.9765085
polkadot,2022-06-15,7.379,8291133948.242304,720864697.4473226
polkadot,2022-06-16,8.5167,9514898970.918207,914920363.8200166
polkadot,2022-06-17,7.1058,7956220111.036415,536050086.9674976
polkadot,2022-06-18,7.3255,8244703664.961858,358960490.8294395
polkadot,2022-06-19,7.068,7910999673.97284,478129359.6275283
polkadot,2022-06-20,7.5046,8418274234.958723,413627572.8865504
polkadot,2022-06-21,7.8946,8896278057.431814,409754603.9106185
